0,1,2
Mới nhất,https://vnexpress.net/ios-17-2-sua-loi-sac-khong-day-cua-iphone-tren-oto-4685564.html,"Theo ghi chú trong bản iOS 17.2 RC ra ngày 5/12, Apple cho biết phiên bản này ""khắc phục sự cố có thể ngăn cản việc sạc không dây ở một số phương tiện nhất định"". RC (Release Candidate) là bản dùng thử cuối cùng trước khi bản chính thức được phát hành, đồng nghĩa thời gian triển khai iOS 17.2 cho người dùng phổ thông đang đến gần."
Mới nhất,https://vnexpress.net/ios-17-2-sua-loi-sac-khong-day-cua-iphone-tren-oto-4685564.html,"Apple không đề cập chi tiết lỗi. Tuy nhiên, công ty đã xác nhận vấn đề từ cuối tháng 10. Trong thông báo gửi tới các nhà cung cấp dịch vụ ủy quyền (AASP), Apple cho biết việc sạc iPhone 15, 15 Plus, 15 Pro và 15 Pro Max qua ""số lượng nhỏ"" sạc không dây tích hợp trên một số mẫu xe ""có thể tạm thời vô hiệu hóa NFC của thiết bị""."
Mới nhất,https://vnexpress.net/ios-17-2-sua-loi-sac-khong-day-cua-iphone-tren-oto-4685564.html,"Từ đầu tháng 10, nhiều người dùng iPhone 15 phát hiện thiết bị của họ bị nóng, bất ngờ chuyển sang chế độ khôi phục dữ liệu với màn hình trắng. Số khác cho biết chip NFC trên iPhone 15 không hoạt động khiến họ không thể dùng Apple Pay, Apple Wallet hay mở khóa xe. Vấn đề chủ yếu xuất hiện sau khi sạc thiết bị bằng sạc không dây trên xe BMW, buộc Apple phải phát hành bản iOS 17.1.1 để sửa lỗi nhưng không triệt để."
Mới nhất,https://vnexpress.net/ios-17-2-sua-loi-sac-khong-day-cua-iphone-tren-oto-4685564.html,"Đến tháng 11, người dùng các thương hiệu xe thuộc General Motors (GM) gồm Chevrolet, Cadillac và Buick cũng gặp sự cố tương tự. Một số người cho biết lỗi sẽ không bị phát hiện nếu không sử dụng NFC trên thiết bị. Họ được đổi máy mới khi đi bảo hành, nhưng Apple không giải thích nguyên nhân sự cố."
Mới nhất,https://vnexpress.net/ios-17-2-sua-loi-sac-khong-day-cua-iphone-tren-oto-4685564.html,"Bên cạnh lỗi sạc trên ôtô, iOS 17.2 RC cũng bổ sung hàng loạt tính năng mới, như hỗ trợ bộ sạc Qi2 cho các mẫu iPhone 13 và iPhone 14, thêm chức năng cho Journal (Nhật ký), tích hợp dịch nhanh ngôn ngữ cho nút Action trên iPhone 15 Pro, cải thiện lấy nét cho ống tele, tiện ích mới cho ứng dụng thời tiết. Dù vậy, lỗi wifi không được đề cập."
Mới nhất,https://vnexpress.net/ios-17-2-sua-loi-sac-khong-day-cua-iphone-tren-oto-4685564.html,"Theo 9to5mac, với việc iOS 17.2 RC ra mắt, phiên bản iOS 17.2 chính thức dự kiến có mặt ngay trong tuần tới."
Mới nhất,https://vnexpress.net/ios-17-2-sua-loi-sac-khong-day-cua-iphone-tren-oto-4685564.html,Bảo Lâm
Mới nhất,https://vnexpress.net/chong-dat-cong-viec-tren-tat-ca-4685552.html,"Vợ chồng tôi bằng tuổi, là bạn học cùng lớp, yêu nhau sáu năm và cưới được ba năm, có con hơn một tuổi. Từ khi cưới nhau đến giờ, chúng tôi ở chung với bố mẹ chồng, dự định năm sau ra riêng. Chồng tôi yêu thương vợ con, cả hai đến với nhau bằng tình yêu chân thành và sự đồng cảm của những người chung nghề nghiệp. Tuy nhiên tôi luôn cảm thấy cô đơn trong cuộc hôn nhân này."
Mới nhất,https://vnexpress.net/chong-dat-cong-viec-tren-tat-ca-4685552.html,"Đặc thù công việc của chồng tôi phải đi công tác thường xuyên, một năm đi khoảng sáu đến tám tháng, mỗi lần đi cả tháng và chỉ về được khoảng ba tới năm ngày. Nhiều lần tôi trao đổi thẳng thắn với chồng về chuyện công việc, mong anh tìm việc khác phù hợp hơn để có thời gian bên gia đình. Tôi đã nói rõ quan điểm không đồng tình với việc gia đình thường xuyên phải sống xa nhau, đặc biệt con là con trai, càng lớn càng cần có bố ở cạnh để dạy dỗ. Nhưng lần nào anh cũng nói sẽ suy nghĩ thêm."
Mới nhất,https://vnexpress.net/chong-dat-cong-viec-tren-tat-ca-4685552.html,"Anh vô cùng yêu thích công việc hiện tại dù lương không cao. Ngành nghề của chúng tôi hiện nay có một số khó khăn nhưng không phải là không thể xin việc chỗ khác. Tôi sợ càng để lâu, về già sẽ càng khó có cơ hội xin việc mới. Đỉnh điểm trong thời gian tôi vừa sinh, con mới được tròn hai tháng tuổi, anh đã phải đi công tác trong Nam cả tháng trời. Tôi ở nhà cùng bố mẹ chồng cộng với việc phải chăm con một mình đêm hôm dần rơi vào tình trạng bức bối, nhiều lúc chỉ biết khóc thầm. Cho đến giờ, đã hơn một năm, tôi vẫn còn sợ cảm giác phải giam mình trong nhà chăm con, không có sự hỗ trợ của chồng."
